freq,c_dest,purpose,duration,tra_mode,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,CY	249745 b	363491 	296923 	189714 	235315 	212205 	218941 	246491 	236860 	271237 	310096 	276254 	306929 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,CZ	5851442 	5785532 	6437339 	6022232 	7229934 	6924894 	6764822 	7185320 	6842878 	7039649 	7207819 	6027591 	5654832 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,DE	32739695 	30299043 	32067462 	32532693 	31640855 	29777941 	31921448 	31114660 	27764402 	29711468 	31927977 	31518049 	37055873 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,DK	2439944 	2456445 b	2554503 	2634884 	2340332 	2103802 	1810660 	2671960 	3459925 	2665662 	2003803 	1923950 	2781145 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,EA20	156061874 	154860387 	151792175 	147432278 	148459494 	148938319 	154680930 	150845121 	132295893 	153495910 	153070819 	151782379 	155178970 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,EE	135764 	105181 	122946 	168891 	165833 	165605 	199317 	166301 	160325 	204349 	151468 	199457 	174535 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,EL	2302425 	2037232 	2248930 	2006211 	1945586 	2417417 	2530293 	2298584 	2220763 	2435444 	2638730 	2936450 	3067855 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,ES	21647591 	21699046 	20206988 	21941575 b	23156458 	24294987 	24408412 	24642306 	17315169 	23522236 	25042545 	26366651 	25848938 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,EU27_2020	185229640 e	186909187 e	182664442 	178663390 	181945343 	186284404 	192148566 	191611681 	171700336 	198512488 	198794716 	196874787 e	199995591 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,FI	3923312 b	4033474 	3960770 	4145829 	4026402 	3968197 	3915260 	3670703 	5469869 	6561898 	5474013 	4730656 	4744361 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,FR	63908623 	64906269 	64525763 	58451679 	57249221 	57676646 	59142617 	55950783 	50268613 	57174137 	56249875 	55099199 	53561775 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,HR	1595265 	1704971 	1193804 	1254370 	998486 	1080770 	1114978 	1234808 	981687 	1311366 	1268461 	1371422 	1429211 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,HU	2571342 	2438459 	2460180 	2385300 	2356659 	2304549 	2323177 	2450282 	1825858 	1973149 	1962717 	2227917 	2122472 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,IE	941024 	1036691 	993856 	980799 	993015 	1025335 	1045336 	1175232 	1219051 	932735 	1461260 	1302480 	1540030 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,IT	13405530 	13499767 	12517412 b	11515375 	12979797 	13752028 	14908098 	13774934 	11036956 	13100712 	13451847 	12153072 	11983069 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,LT	360271 	414155 	374983 	344992 	334550 	313647 	324353 	334500 	312777 	340591 	333014 	382587 	356610 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,LU	: u	: u	: u	: u	: u	: u	: u	: u	19660 u	24061 	22003 	18098 u	23181 u
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,LV	210497 	157796 	318430 	211183 	191986 	193360 	167417 	194702 	226325 	284247 	238967 	270930 	242633 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,ME	: 	: 	: 	: 	239081 	191083 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,MK	: 	: 	: 	: 	: 	: 	: 	57116 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,NL	6999389 b	6455470 	6089438 	6301750 	6556549 	6126338 	6209587 	6706240 	6674907 	8296078 	5620381 	5753731 	5272096 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,NO	: 	2110188 	2428780 	2312744 	2258955 	2377478 	2824012 	: 	: 	4516965 	4207659 	4141976 	: u
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,PL	10500533 	12340371 	10765870 b	11226437 	12539069 	13389001 	14206244 	15180488 	13617132 	16561375 	17152744 	16536104 	16783013 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,PT	2687385 	3281616 	2668499 	2947202 	2810969 	3123094 	3146029 	3679299 	3396594 	3805339 	3600520 	3620471 	3596986 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,RO	2686227 	3757579 	3584848 	3391853 	3610311 	3753489 	4257868 	4782813 	3395010 	4825605 	4481701 	4630603 	5407421 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,RS	: 	: 	: 	: 	: 	: 	288626 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,SE	: 	: 	4156603 	4734512 	4380627 	7357573 	6763921 	7223881 	9302208 	10815093 	11703521 	: 	10707671 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,SI	349966 	323147 	291587 	305412 	332465 	282389 	287193 	308760 	387380 	579743 	478951 	470393 	454852 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,SK	1036025 	938142 b	899967 	988706 	1241917 	1305711 	1521639 	1789315 	993859 	1042835 	1338094 	1556697 	1450174 
A,DOM,PER,N_GE4,RDMV_PAS_X_BUS,NR,UK	19512659 	18570807 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	116196 	: u	55320 u	43731 u	80040 u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	1111771 u	1223713 u	1355221 u	1312164 u	1331279 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	2791037 	3118954 	3222410 	4311097 	3725859 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	17920 u	21167 u	23093 u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	241095 	353306 	379437 	384087 	409609 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	3158638 	3493844 	3513089 	4530752 e	4021113 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	70717 u	77438 u	: u	: u	91671 u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	793989 	727120 	905546 	1914715 	1262298 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	36646 	52516 	45490 	: u	38352 u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	242541 u	470159 u	262014 u	224515 u	295170 u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	103154 u	139842 	126364 	257101 	146563 u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	87702 u	54937 u	74779 u	44519 u	71976 u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	18941 u	19159 u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	176517 u	213884 u	: u	: 	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,RRDMV_PAS_X_BUS,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,DOM,PER,N_GE4,TOTAL,NR,AL	: 	: 	: 	: 	: 	817709 	: 	1322403 	1029223 	: 	: 	: 	: 
A,DOM,PER,N_GE4,TOTAL,NR,AT	3238081 	3367242 	2863980 	2846079 	3181186 	3083908 	3239192 	3221655 	3089305 	2897550 	3192358 	3502607 	3662059 
A,DOM,PER,N_GE4,TOTAL,NR,BE	995566 	903854 	766495 	897547 	1121826 	775304 b	1106161 	1102619 	1087600 	1625452 	1141837 	1166687 	1312870 
A,DOM,PER,N_GE4,TOTAL,NR,BG	1064823 b	1381584 	1156140 	1006342 	1278598 	1834030 	1676146 	1492168 	1028463 	1227874 	1362536 	1549462 	1558018 
A,DOM,PER,N_GE4,TOTAL,NR,CH	2319940 	2369686 	2319427 	2010130 	2149262 	2410578 	2291472 	2143244 	2909456 	2774031 	2556816 	: 	: 
A,DOM,PER,N_GE4,TOTAL,NR,CY	261551 b	384003 	309224 	198583 	245017 	216533 	224623 	250335 	242378 	273506 	314339 	282240 	311942 
A,DOM,PER,N_GE4,TOTAL,NR,CZ	7358050 	7088929 	7668598 	7083940 	8353540 	8094409 	7835345 	8412181 	7635898 	7826064 	8058910 	6842330 	6447842 
A,DOM,PER,N_GE4,TOTAL,NR,DE	45168818 	43467984 	43631518 	45968688 	45674140 	42645426 	46177166 	45325032 	35668198 	40891962 	44460857 	44293272 	50445077 
A,DOM,PER,N_GE4,TOTAL,NR,DK	3094490 	3019456 b	3393261 	3325607 	3054951 	3245186 	3190998 	4431013 	4309731 	3314833 	2500824 	2377144 	3627572 
A,DOM,PER,N_GE4,TOTAL,NR,EA20	208122559 	205396517 	201365324 	194701268 	197893220 	198040497 	205353884 	200897966 	163658921 	195579389 	203296464 	202831920 	206711098 
A,DOM,PER,N_GE4,TOTAL,NR,EE	249974 	169906 	208038 	234914 	227640 	271311 	269764 	282996 	214523 	275963 	228408 	267837 	276739 
A,DOM,PER,N_GE4,TOTAL,NR,EL	3598400 	3257822 	3743932 	3368900 	3253327 	3849885 	4002378 	3640871 	3168803 	3487009 	4159349 	4273260 	4542135 
A,DOM,PER,N_GE4,TOTAL,NR,ES	31545121 	31260305 	30078603 	30352536 b	32611128 	33510697 	33716170 	34367834 	21358205 	30047786 	33898367 	36283351 	35842122 
A,DOM,PER,N_GE4,TOTAL,NR,EU27_2020	250604815 e	248565824 e	243195449 	236583312 	242289292 	246834656 	253978882 	253739928 	210020112 	248143751 	259325363 	259084997 e	262065337 
A,DOM,PER,N_GE4,TOTAL,NR,FI	5287791 b	5307615 	5139179 	5220532 	5290481 	5187407 	5400499 	5098776 	6624827 	8079134 	6948967 	5973583 	6244581 
A,DOM,PER,N_GE4,TOTAL,NR,FR	80426993 	81626757 	81539693 	73210774 	71501223 	72691602 	73193812 	69333404 	62001693 	71005110 	73436013 	72051446 	70377690 
A,DOM,PER,N_GE4,TOTAL,NR,HR	2083001 	2181548 	1760512 	1728847 	1227558 	1319639 	1391216 	1546709 	1110206 	1516003 	1450291 	1587448 	1629581 
A,DOM,PER,N_GE4,TOTAL,NR,HU	3586431 	3325387 	3252244 	3122448 	2991367 	2904544 	3021043 	3057875 	2075907 	2281602 	2382535 	2650249 	2630369 
A,DOM,PER,N_GE4,TOTAL,NR,IE	1119309 	1208285 	1149419 	1110121 	1173003 	1163036 	1247749 	1366019 	1342302 	1037551 	1710603 	1465643 	1945637 
A,DOM,PER,N_GE4,TOTAL,NR,IT	20216232 	18860608 	17587158 b	16497475 	19061696 	19835759 	21648833 	20156416 	14328883 	17964225 	18473732 	17477200 	16590579 
A,DOM,PER,N_GE4,TOTAL,NR,LT	403672 	498683 	457199 	427391 	408127 	402804 	417063 	415343 	372606 	394624 	406100 	445942 	446910 
A,DOM,PER,N_GE4,TOTAL,NR,LU	: u	: u	: u	: u	: u	10218 u	7324 u	: u	25035 	31743 	39722 	37264 	33650 
A,DOM,PER,N_GE4,TOTAL,NR,LV	366324 	305039 	453263 	308269 	290329 	270690 	259357 	305764 	255514 	335647 	288651 	332774 	307876 
A,DOM,PER,N_GE4,TOTAL,NR,ME	: 	: 	: 	: 	351998 	297448 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,TOTAL,NR,MK	: 	: 	: 	: 	: 	: 	: 	81250 	62338 	81319 	: 	: 	: 
A,DOM,PER,N_GE4,TOTAL,NR,MT	34743 u	20752 u	30062 b	31217 	44005 	41975 	41349 	37324 	68811 	78688 	68271 	70844 	66073 
A,DOM,PER,N_GE4,TOTAL,NR,NL	7871127 b	7256086 	6906134 	7033655 	7281709 	6961197 	6925630 	7347058 	7399772 	9357950 	6497383 	6509242 	6060346 
A,DOM,PER,N_GE4,TOTAL,NR,NO	: 	3033249 	3490660 	3194315 	3277948 	3556685 	3898331 	: 	: 	5963173 	5552230 	5370543 	5366619 
A,DOM,PER,N_GE4,TOTAL,NR,PL	15032150 	16215854 	14673119 b	15299138 	16702779 	17551165 	18342523 	19569016 	15673590 	19215642 	21196012 	20697049 	20922117 
A,DOM,PER,N_GE4,TOTAL,NR,PT	3188491 	3788130 	3134081 	3513351 	3298863 	3759005 	3752118 	4347103 	3733943 	4304310 	4295096 	4338859 	4257499 
A,DOM,PER,N_GE4,TOTAL,NR,RO	6020465 	5938718 	5572429 	5030781 	5264548 	5196424 	5626524 	6257983 	4023724 	5636061 	5681834 	6384219 	6778400 
A,DOM,PER,N_GE4,TOTAL,NR,RS	: 	: 	: 	: 	: 	: 	399476 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,TOTAL,NR,SE	: 	: 	6114335 	7013787 	6750288 	9968401 	8932419 	9621726 	11613878 	13062285 	14846249 	: 	13389922 
A,DOM,PER,N_GE4,TOTAL,NR,SI	370944 	354981 	323065 	324202 	364311 	303922 	318298 	341431 	397422 	639052 	532644 	520602 	517411 
A,DOM,PER,N_GE4,TOTAL,NR,SK	1691375 	1172396 b	1278502 	1419782 	1631163 	1740178 	2015181 	2406178 	1168896 	1336127 	1753475 	1951817 	1840321 
A,DOM,PER,N_GE4,TOTAL,NR,UK	25437073 	24543559 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,WW,NR,AL	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,WW,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,DOM,PER,N_GE4,WW,NR,BE	: 	: u	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,WW,NR,CH	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,DOM,PER,N_GE4,WW,NR,CZ	: 	: 	: 	: 	: u	: u	: 	: u	: 	: 	: u	: 	: 
A,DOM,PER,N_GE4,WW,NR,DE	: u	: u	: u	: u	: u	: u	471730 u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,WW,NR,DK	: u	71368 bu	84286 u	78875 u	111522 u	78607 u	105800 u	202072 	192038 u	189243 u	: u	114879 u	208813 u
A,DOM,PER,N_GE4,WW,NR,EA20	3110192 	3318225 	3059137 	2590093 	3055312 	3000988 	3591562 	2866741 	2065208 	3170460 	3453076 	3497440 	3429201 
A,DOM,PER,N_GE4,WW,NR,EE	: 	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,WW,NR,EL	729283 	763938 	844085 	820304 	807617 	820262 	899745 	853504 	648354 	728466 	1030507 	882874 	972533 
A,DOM,PER,N_GE4,WW,NR,ES	349905 	458980 	401881 	478053 b	436142 	488274 	523308 	494372 	404484 	620532 	690797 	693745 	650274 
A,DOM,PER,N_GE4,WW,NR,EU27_2020	3345128 e	3597270 e	3395743 	2981258 	3476154 	3442170 	4152999 	3437759 	2787015 	3840000 	3817467 	3924972 e	3975784 
A,DOM,PER,N_GE4,WW,NR,FI	85405 bu	95999 u	76840 u	77425 u	119430 u	87751 u	105163 u	92240 u	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,WW,NR,FR	481390 	432603 	440173 	334578 	322935 	463959 	385388 	392909 	303918 u	425481 	389597 	501712 	457770 
A,DOM,PER,N_GE4,WW,NR,HR	56276 u	58951 u	36736 u	: u	33026 u	25041 u	20179 u	42124 u	33070 u	18426 u	: u	29064 u	25841 u
A,DOM,PER,N_GE4,WW,NR,HU	: u	: u	: u	: 	: 	: u	: 	: 	: 	: u	: 	: 	: u
A,DOM,PER,N_GE4,WW,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 
A,DOM,PER,N_GE4,WW,NR,IT	1063830 	1080326 	732978 bu	: u	878591 u	516792 u	1012141 	504300 u	325407 u	841824 	610501 	745603 	704687 
A,DOM,PER,N_GE4,WW,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,DOM,PER,N_GE4,WW,NR,LU	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,WW,NR,LV	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,WW,NR,MT	34743 u	20752 u	30062 b	31217 	44005 	41975 	41349 	37324 	68811 	78688 	68271 	70844 	66073 
A,DOM,PER,N_GE4,WW,NR,NL	86919 bu	85805 u	61552 u	76672 u	78184 u	105998 u	92821 u	50650 u	58803 u	82949 	182478 	156046 	158242 
A,DOM,PER,N_GE4,WW,NR,NO	: 	103060 u	135011 u	: u	86137 u	105164 u	74527 u	: 	: 	151454 u	110478 u	: u	4099954 
A,DOM,PER,N_GE4,WW,NR,PL	: u	: u	15383 bu	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,DOM,PER,N_GE4,WW,NR,PT	12503 	19370 	28316 	21011 	17414 	22255 	24116 	20756 	22466 	23577 	26700 	33726 	40453 
A,DOM,PER,N_GE4,WW,NR,RO	: 	: u	49809 	18381 u	66061 	39691 u	: u	32948 u	: u	29201 u	: u	: u	: u
A,DOM,PER,N_GE4,WW,NR,SE	: 	: 	186542 u	280073 	230918 u	316727 	425385 	324066 	506593 	446327 	: u	: 	: u
A,DOM,PER,N_GE4,WW,NR,SK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,PER,N_GE4,WW,NR,UK	: u	144407 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PROF,N1-3,AIR,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PROF,N1-3,AIR,NR,BG	: u	: 	: 	: u	: 	: u	: u	: 	: 	: 	: u	: u	: 
A,DOM,PROF,N1-3,AIR,NR,CH	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PROF,N1-3,AIR,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,DOM,PROF,N1-3,AIR,NR,DE	3576437 	2595566 	2147159 	2540226 	2906435 	2450093 	2098187 	1658879 	665224 u	436137 u	785875 u	1066223 u	673710 u
A,DOM,PROF,N1-3,AIR,NR,DK	141846 u	78370 bu	: u	96810 u	78494 u	306081 	468122 	79772 u	: u	: u	: u	: u	: u
A,DOM,PROF,N1-3,AIR,NR,EA20	8548324 	6584769 	5567015 	5532036 	5682849 	5890184 	5874079 	4882022 	2130051 	2159613 	3296377 	3515758 	3463752 
A,DOM,PROF,N1-3,AIR,NR,EE	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,DOM,PROF,N1-3,AIR,NR,EL	: u	50309 	19819 u	58518 	28644 	46771 	26654 u	39534 	10572 u	17150 u	35969 	16601 u	30397 
A,DOM,PROF,N1-3,AIR,NR,ES	1877233 	1633792 	1325986 	957458 b	1036292 	922800 	1243967 	1218277 	219218 	532662 	872078 	985834 	1025703 
A,DOM,PROF,N1-3,AIR,NR,EU27_2020	9666419 e	7550096 e	6457247 	6324602 	6518563 	7376143 	7387869 	6019074 	2608008 	2470899 	4353442 	4605413 e	4471929 
A,DOM,PROF,N1-3,AIR,NR,FI	416914 b	306474 	326004 	326968 	342828 	349402 	329183 	298967 u	: u	: u	113800 u	114655 u	106134 u
A,DOM,PROF,N1-3,AIR,NR,FR	1013102 	1247422 	1033168 	946597 	867750 	1609882 	1420292 	1065875 	1014360 	913715 	1235860 	926099 	1296800 
A,DOM,PROF,N1-3,AIR,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,DOM,PROF,N1-3,AIR,NR,HU	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,DOM,PROF,N1-3,AIR,NR,IE	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: u
A,DOM,PROF,N1-3,AIR,NR,IT	1528708 	675082 	645693 bu	627514 u	406544 u	436112 u	698455 u	522864 u	: u	: u	207436 u	319326 u	230037 u
A,DOM,PROF,N1-3,AIR,NR,LU	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PROF,N1-3,AIR,NR,LV	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,DOM,PROF,N1-3,AIR,NR,NO	: 	1028920 	1604953 	1457507 	1377442 	1512084 	1388054 	: 	: 	671545 	1569466 	1445092 	1694467 
A,DOM,PROF,N1-3,AIR,NR,PL	100485 u	: u	15143 bu	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,DOM,PROF,N1-3,AIR,NR,PT	43063 	24607 	24381 	50643 	59750 	42141 	47718 	52983 	32338 	16847 	43823 	68550 	45290 
A,DOM,PROF,N1-3,AIR,NR,RO	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PROF,N1-3,AIR,NR,SE	: 	: 	844820 	685389 	753065 	1162699 	1026754 	1038681 	469173 u	292013 u	980388 u	: 	950841 u
A,DOM,PROF,N1-3,AIR,NR,SK	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PROF,N1-3,AIR,NR,UK	945332 	1129224 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,PROF,N1-3,BUS,NR,AL	: 	: 	: 	: 	: 	107950 	: 	47129 	16585 u	: 	: 	: 	: 
A,DOM,PROF,N1-3,BUS,NR,AT	77933 u	48426 u	61362 u	57240 u	61716 u	48025 u	67850 u	114346 u	: u	: u	65361 u	56711 u	76992 
A,DOM,PROF,N1-3,BUS,NR,BE	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PROF,N1-3,BUS,NR,BG	: u	: u	36032 u	: u	29882 u	42357 u	32080 u	31285 u	48007 u	: u	: u	: u	70334 u
A,DOM,PROF,N1-3,BUS,NR,CH	: 	: u	: u	: u	: u	: 	: 	: u	: u	: u	: 	: 	: 
A,DOM,PROF,N1-3,BUS,NR,CY	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u
A,DOM,PROF,N1-3,BUS,NR,CZ	: u	93644 u	96406 u	: u	: u	72387 u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PROF,N1-3,BUS,NR,DE	892497 u	: u	479430 u	575249 u	658231 u	875143 u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PROF,N1-3,BUS,NR,DK	: u	: u	: u	: u	: u	92027 u	74223 u	177449 u	: u	: u	: u	: u	112348 u
A,DOM,PROF,N1-3,BUS,NR,EA20	2189602 	1437328 	1512927 	1743418 	1806004 	2035204 	1554282 	2067635 	579177 	849995 	1538967 	1324283 	1967762 
A,DOM,PROF,N1-3,BUS,NR,EE	59131 	34020 	65474 	61662 	88630 	91438 u	95920 u	73365 u	: u	: u	: u	: u	53359 u
A,DOM,PROF,N1-3,BUS,NR,EL	16068 u	16110 u	17514 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PROF,N1-3,BUS,NR,ES	162608 	143437 	216909 	126503 b	230502 	130375 	129153 	197047 	: u	51467 u	204054 	164309 	143847 
A,DOM,PROF,N1-3,BUS,NR,EU27_2020	2892321 e	2385650 e	2166105 	2371626 	2465537 	2499959 	2140598 	2641952 	789507 	1058787 	2128310 	1887534 e	2468039 
A,DOM,PROF,N1-3,BUS,NR,FI	175472 b	206216 	145926 u	211407 	160762 u	239676 	185232 u	168801 u	: u	: u	123405 u	137292 u	129408 u
A,DOM,PROF,N1-3,BUS,NR,FR	161076 u	169408 u	122894 u	117063 u	198307 	414124 	266785 	378080 	: u	: u	224676 u	244822 u	767636 
A,DOM,PROF,N1-3,BUS,NR,HR	122472 	96859 	94613 	55100 u	34347 u	33991 u	39042 u	36707 u	: u	: u	: u	28137 u	21885 u
A,DOM,PROF,N1-3,BUS,NR,HU	20460 u	30824 u	25638 	12927 u	17714 u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,PROF,N1-3,BUS,NR,IE	: u	: u	: u	: u	19760 u	: u	16617 u	: u	: u	: 	: u	: u	: u
