freq,c_dest,unit,purpose,duration,accommod,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,HR	1326998 	1724470 	973782 	971746 	523672 	673927 	390142 	620697 	259487 	497534 	736789 	1417833 	702878 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,HU	38642 u	86628 u	195214 	37574 u	46785 u	: u	: 	: u	: u	: u	: 	: u	: 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,IE	1940487 	1629896 	2065930 	1563128 	1651459 	2216411 	1809921 	2108065 	1273484 	729414 	2191434 	1277496 	2248086 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,IT	3879349 	4438801 	4342475 b	3346693 	5856004 	4346001 	5360406 	4652924 	2381523 u	2161037 u	2322339 	2414810 	1620368 u
A,DOM,NR,PER_OTH,N_GE1,TOT_R,LT	885754 	929803 	883630 	862114 	847957 	865495 	901711 	935785 	719856 	767740 	1026898 	860886 	1047954 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,LU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	22943 u	: u	: u
A,DOM,NR,PER_OTH,N_GE1,TOT_R,LV	189688 u	155241 u	197216 u	284697 u	237356 u	408940 u	285524 u	411877 u	223943 u	490273 u	495827 	303801 u	333958 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,MK	: 	: 	: 	: 	: 	: 	: 	38246 u	: u	: u	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,MT	: u	: u	: u	: u	: u	7463 u	: u	: u	: u	: u	: u	: u	38637 u
A,DOM,NR,PER_OTH,N_GE1,TOT_R,NL	478880 bu	652633 u	392790 u	263933 u	263838 u	1261121 	907268 	867243 	448270 	1299354 	5790025 	5435872 	2259216 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,NO	: 	3014506 	3353075 	3047848 	2424211 	2854059 	3067416 	: 	: 	2182908 	2107085 	2457042 	3103062 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,PL	18103492 	20081478 	16456330 b	17823823 	21366070 	21913617 	22931088 	23248764 	8874827 	14073277 	20967764 	19889856 	22354953 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,PT	678989 	782055 	595957 	917537 	488815 	362356 	379326 	751768 	658271 	324404 	497995 	744658 	625000 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,RO	225355 	150763 	319342 	384431 	350264 	401955 	304465 	503939 	164234 	264070 	409562 	401882 	399666 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,SE	: 	: 	4015929 	4511128 	3527235 	2395054 	1223417 	2102120 	4392370 	6466451 	6172797 	: 	5585117 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,SI	439430 	380613 	239417 	319850 	291647 	331395 	422403 	523745 	197034 u	234632 	278727 	395287 	281380 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,SK	4026412 	1665388 b	2270300 u	3251073 u	3159495 u	3371184 	4013139 	5459286 	2166122 	1918688 	4577635 	5611279 	4906980 
A,DOM,NR,PER_OTH,N_GE1,TOT_R,UK	5503221 	5445640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,AL	: 	: 	: 	: 	: 	147053 u	: 	231158 	284208 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,AT	: u	: u	: u	: 	: 	: u	: 	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,BE	: 	: u	: 	: u	: u	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,CY	: 	: 	: u	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,DK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,EA20	9663534 	7983978 	9178522 	8681207 	14295468 	14793331 	5906714 	8858588 	5792173 	5982360 	5591444 	6676719 	8163323 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,EE	: u	: 	: u	: u	: u	: u	: u	: u	: 	: u	: 	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,EL	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,ES	: u	: u	: u	906028 bu	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,EU27_2020	12399318 e	10185613 e	11041415 	9811129 	19039777 	15545417 	6632015 	9494916 	7449162 	7327327 	10834469 	11841229 e	9011324 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,FI	: u	: u	: u	: u	: u	: u	: u	: u	718162 u	974845 u	741321 u	: u	1002327 u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,FR	7425716 	5636068 	5407997 	6274044 	6849701 	6225593 	2130172 u	2073592 	2953501 u	2632306 	1797913 u	2649047 	3016171 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,HR	: u	: u	: u	: u	: u	: 	: u	: u	: 	: 	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,HU	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,IE	: u	: u	: u	: u	: u	: u	: u	247382 u	172063 u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,IT	: u	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,LT	60917 u	: u	35420 u	: u	: u	: u	: 	: u	: u	: u	: u	104048 u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,LU	: u	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,LV	: u	: u	: 	: 	: 	: u	: u	: 	: u	: 	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,MT	: 	: 	: u	: u	: 	: u	: 	: u	: u	: u	: 	: u	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,NL	: u	: 	: 	: 	: 	: u	: 	: 	: 	: u	522596 u	422484 u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,PL	1360977 u	: u	280301 bu	: u	758916 u	: u	: u	: u	: 	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,PT	: u	: u	: u	: 	: u	262938 u	258834 u	319342 u	203611 u	248490 u	335514 u	308984 	512313 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,RO	: u	107811 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,SE	: 	: 	: u	: u	3692386 u	: u	: u	: u	: u	1279418 u	4671331 u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,SI	: 	: 	: 	: 	: 	: u	: u	: 	: u	: u	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,SK	: u	: u	: u	: 	: u	: u	: 	: u	: 	: 	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OTH,UK	: u	877217 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,AL	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	684308 u	: u	752545 	602789 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,BE	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,BG	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u	: u	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,CH	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,CY	: 	: u	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,CZ	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,DE	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,DK	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,EA20	17521681 	19185497 	19241841 	18766336 	19429987 	14420459 	21054635 	25046906 	25886793 	28953523 	27967989 	20583523 	22051177 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,EE	: 	: u	: 	: u	: 	: u	: u	: u	: u	: u	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,EL	655733 	244836 u	1163351 u	329625 u	260607 u	839528 	455346 u	: u	826914 	612250 u	571963 	374342 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,ES	4913746 	5036857 	5616786 	8031248 b	8138569 	3082941 	3516464 	5112194 	6767407 	8140114 	9334526 	7190413 	7978491 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,EU27_2020	19437294 e	20295128 e	20586390 	19412535 	20439007 	14714696 	22675610 	25646855 	32087328 	33074948 	28791622 	21056760 e	24142372 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,FI	: u	: u	: u	: u	: u	: u	: u	510037 u	3080872 	1681730 u	1876663 	921233 u	1508611 u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,FR	10139391 	11074959 	8718092 	7883327 	8339489 	7109562 	13172990 	10507472 	11928474 	14572983 	13596267 	8643977 	9040048 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,HR	522925 u	1163956 u	1263680 	696172 u	941731 	299479 u	586297 u	637249 	408775 	397950 u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,HU	202161 u	: u	46550 u	: u	: u	: u	: 	: u	: u	: u	: u	99723 u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,IT	: 	: 	: 	: 	: u	: 	: u	: u	: u	: u	: 	: u	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,LT	296036 	321921 	281812 	314624 	253347 	252515 	313649 	279755 	138421 u	250985 u	308268 	406198 	196683 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,LU	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	572359 u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,MT	: 	: 	: u	: 	: 	: u	: 	: 	: u	: u	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,NL	: 	: 	: 	: 	: 	: u	: u	: u	: u	: 	321643 u	715038 u	156443 u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,NO	: 	1077532 	402778 u	: u	: u	634977 u	706059 u	: 	: 	2689865 	1092654 u	1682327 u	1305722 u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,PL	: u	: u	411568 b	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,PT	455643 	482586 	489617 	1078762 	159940 u	436494 	319679 	391033 	956040 	651320 	383644 	407187 	492700 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,RO	: u	: u	: u	: 	: u	: u	: u	: 	: u	: 	: 	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,SE	: 	: 	: u	: u	: u	: u	: u	: u	5171549 	3888313 	: 	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,SI	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,SK	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_OWN,UK	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,AL	: 	: 	: 	: 	: 	183030 u	: 	259188 	126693 u	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,AT	: u	544415 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	326254 u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,BE	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,BG	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,CY	: u	: 	: u	: u	: u	: 	: u	: 	: u	: u	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,CZ	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,DK	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,EA20	22684057 	18798806 	16081976 	16755964 	14576968 	22506917 	21643991 	19275966 	35823143 	41721569 	24982285 	22525965 	17826639 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,EE	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,EL	358214 u	582251 	915011 	673240 	712977 	519470 	689443 	522035 	441533 	261558 u	417420 	449426 	329993 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,ES	5716815 	5046109 	5143190 	4358365 b	4785630 	4759971 	4182329 	5766663 	5251964 	8878124 	5223977 	5662593 	5177677 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,EU27_2020	27221411 e	20401791 e	18784841 	19000999 	17424065 	25579576 	23039834 	20809085 	39318978 	45543662 	28011263 	25531536 e	20684307 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,FI	507119 bu	432627 u	493525 u	838823 u	488985 u	604161 u	753161 u	776229 u	903915 u	1290879 u	1002337 u	1398808 u	1226060 u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,FR	9415529 	8027575 	6770521 	6931639 	5534599 	10487554 	12636033 	9102610 	25106060 	23172887 	11813660 	10115072 	7302929 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,HR	457529 u	603793 u	298520 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,HU	: u	67917 u	157284 u	: u	: u	: u	: 	: u	: 	: 	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,IE	238420 u	150544 u	275246 u	: u	119810 u	253964 u	204043 u	334844 	210791 u	283773 u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,LT	44344 u	98609 u	130391 	81499 u	: u	: u	101074 u	: u	: u	186323 u	: u	: u	68615 u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,LU	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,LV	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,ME	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,MT	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,NL	: 	: 	: 	: 	: 	: u	: u	: u	: u	2121711 	1559996 	1200977 	1309181 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,NO	: 	521805 u	: u	538707 u	: u	681379 u	837636 u	: 	: 	897961 u	989428 u	: u	661241 u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,PL	3614495 u	: u	1512333 b	723164 	1372539 	2223773 	807325 u	754729 u	2322356 	2633646 u	1105453 u	987902 u	1697925 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,PT	1291150 	1158354 	1020611 	765876 	936032 	1169964 	798193 	878652 	856680 	1588809 	1403430 	1567301 	1105988 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,SE	: 	: 	801545 u	1312833 u	1099115 u	: u	: u	: u	: u	1037622 u	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,SI	: u	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: u
A,DOM,NR,PER_OTH,N_GE4,NR_RF,SK	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,DOM,NR,PER_OTH,N_GE4,NR_RF,UK	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_APT,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_APT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: 
A,DOM,NR,PER_OTH,N_GE4,R_APT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_APT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,EA20	: u	: u	: u	: u	: u	: u	: u	: u	15837647 	14462791 	22825485 	16739961 	13854587 
A,DOM,NR,PER_OTH,N_GE4,R_APT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,EL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,ES	: 	: 	: 	: 	: 	: 	: 	: 	1530203 u	2304994 	2321355 	1268157 	2033547 
A,DOM,NR,PER_OTH,N_GE4,R_APT,EU27_2020	: u	: u	: u	: u	: u	: u	: u	: u	17139290 	16697779 	24455382 	18747091 e	15523705 
A,DOM,NR,PER_OTH,N_GE4,R_APT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,FR	: 	: 	: 	: 	: 	: 	: 	: 	8240222 	9168594 	16250414 	11576587 	8860877 
A,DOM,NR,PER_OTH,N_GE4,R_APT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,IE	: 	: 	: 	: 	: 	: 	: 	: 	307936 u	409516 u	501109 u	: u	689403 u
A,DOM,NR,PER_OTH,N_GE4,R_APT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,LT	: 	: 	: 	: 	: 	: 	: 	: 	64990 u	: u	87119 u	62604 u	124041 u
A,DOM,NR,PER_OTH,N_GE4,R_APT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_APT,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	932359 	625923 u	397744 u
A,DOM,NR,PER_OTH,N_GE4,R_APT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: u	612169 u	: u	547730 u	1219549 u
A,DOM,NR,PER_OTH,N_GE4,R_APT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	43871 u	96914 u
A,DOM,NR,PER_OTH,N_GE4,R_APT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	1553319 u	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_APT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,AL	: 	: 	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,AT	: 	: u	: 	: 	: u	: u	: 	: u	: u	: 	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,BE	: 	: u	: 	: 	: 	: u	: 	: u	: u	: 	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,BG	: u	511999 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,CY	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,CZ	: u	: u	: 	: u	: u	: 	: u	: u	: 	: 	: 	: 	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,DK	: 	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,EA20	2581458 	3122151 	2563043 	1974359 	2519877 	2993744 u	5409258 	4426832 	1880796 u	1730901 u	3709691 	4035544 	3384588 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,EL	: 	: u	: u	: u	: 	: u	: u	: 	: 	: u	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,ES	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,EU27_2020	3674583 e	3936405 e	2843752 	3001028 	2956941 	3592633 	5854671 	5331365 	2277319 u	2450780 	4934597 	5327882 e	4504842 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,FI	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,FR	2130411 u	2214366 u	1874054 u	1409828 u	1527021 u	2280067 u	3535001 u	2957101 u	: u	: u	2386809 u	2238362 u	1697592 u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,HR	: u	: u	: 	: 	: u	: u	: 	: 	: 	: u	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,HU	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,IE	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,IT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,LT	: 	: u	: u	: u	: u	: 	: 	: u	: u	: 	: 	: u	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,LU	: 	: u	: u	: 	: 	: u	: u	: 	: 	: u	: u	: 	: u
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,LV	: u	: 	: 	: u	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,DOM,NR,PER_OTH,N_GE4,R_CAMP,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	813321 	1154361 u	: u
