freq,c_dest,purpose,duration,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,AFR,PER,N_GE4,NR,UK	1966212 	2037815 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N1-3,NR,BE	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N1-3,NR,CH	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,CY	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,DE	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: u	: 
A,AFR,PER_VFR,N1-3,NR,DK	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,EA20	94105 	89300 	137545 	87102 	72117 	140720 	96698 	193476 	: u	: u	135860 	224353 	222332 
A,AFR,PER_VFR,N1-3,NR,ES	78868 	85709 	102894 	73257 b	60690 	81216 	66553 	100398 	: u	: u	40703 	101456 	176930 
A,AFR,PER_VFR,N1-3,NR,EU27_2020	96378 e	91528 e	139743 	90874 	72117 	142566 	100814 	224074 	: u	: u	135860 	224353 e	222332 
A,AFR,PER_VFR,N1-3,NR,FI	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,FR	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N1-3,NR,HU	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,IE	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,IT	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: u	: 
A,AFR,PER_VFR,N1-3,NR,LT	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N1-3,NR,LU	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: u	: 	: u
A,AFR,PER_VFR,N1-3,NR,MT	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,NL	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N1-3,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,PT	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,SE	: 	: 	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N1-3,NR,SI	: 	: u	: u	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,AFR,PER_VFR,N1-3,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,AFR,PER_VFR,N1-3,NR,UK	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE1,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,BE	: u	103914 	102553 	101683 	85793 	148183 b	132540 	216193 	58774 u	91516 u	178236 	184596 	238817 
A,AFR,PER_VFR,N_GE1,NR,BG	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE1,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE1,NR,CY	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N_GE1,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,DK	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE1,NR,EA20	1018446 	1262539 	1592193 	1671020 	1106540 	1358612 	1278313 	1705855 	399964 	859068 	1531452 	2130719 	2439567 
A,AFR,PER_VFR,N_GE1,NR,EE	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE1,NR,EL	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,ES	418343 	420181 	434178 	405733 b	436077 	469739 	488987 	441394 	96185 u	200571 u	484296 	753861 	916476 
A,AFR,PER_VFR,N_GE1,NR,EU27_2020	1063523 e	1274717 e	1626727 	1700605 	1165246 	1537591 	1346986 	1902537 	440923 	883025 	1614043 	2218660 e	2489407 
A,AFR,PER_VFR,N_GE1,NR,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,FR	300400 	344152 	342551 	285449 	212110 	281654 	238779 	251604 	: u	: u	182945 u	475872 	369990 
A,AFR,PER_VFR,N_GE1,NR,HR	: 	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE1,NR,HU	3598 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,LT	6691 	: u	: 	: 	: u	: 	: u	4773 u	4041 u	1398 u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,LU	: u	7310 u	: u	: u	: u	10820 u	: u	10125 u	: u	13857 u	17113 	24114 	21965 
A,AFR,PER_VFR,N_GE1,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE1,NR,MT	1801 u	3125 	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	49749 u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,PL	: u	: 	: u	: u	: u	: 	: 	: u	: u	: u	: u	4364 u	: u
A,AFR,PER_VFR,N_GE1,NR,PT	: u	20206 u	: u	: u	: u	: u	25930 u	: u	: u	: u	: u	18259 u	23705 u
A,AFR,PER_VFR,N_GE1,NR,RO	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: u	: 	: u
A,AFR,PER_VFR,N_GE1,NR,SE	: 	: 	: u	: u	: u	168903 u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE1,NR,SI	: u	: u	: u	: 	: 	: u	: 	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE1,NR,SK	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 
A,AFR,PER_VFR,N_GE1,NR,UK	548939 	556902 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,BE	: u	103074 	96684 	101683 	79775 	128748 b	112121 	215020 	53328 u	88606 u	167163 	176837 	231259 
A,AFR,PER_VFR,N_GE4,NR,BG	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE4,NR,CY	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,AFR,PER_VFR,N_GE4,NR,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,DK	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE4,NR,EA20	924342 	1173240 	1454647 	1583918 	1034423 	1217892 	1181615 	1512379 	385182 	849604 	1395592 	1906366 	2217236 
A,AFR,PER_VFR,N_GE4,NR,EE	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,EL	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,ES	339474 	334472 	331285 	332476 b	375387 	388523 	422434 	340997 	: u	198516 u	443592 	652405 	739547 
A,AFR,PER_VFR,N_GE4,NR,EU27_2020	967145 e	1183189 e	1486984 	1609731 	1093129 	1395025 	1246171 	1678462 	421441 	873561 	1478183 	1994308 e	2267076 
A,AFR,PER_VFR,N_GE4,NR,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,FR	293270 	344152 	317960 	275766 	206701 	262482 	229054 	232574 	: u	: u	168205 u	434746 	332575 
A,AFR,PER_VFR,N_GE4,NR,HR	: 	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE4,NR,HU	3598 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,LT	5121 u	: u	: 	: 	: u	: 	: u	: u	4041 u	1398 u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,LU	: u	7310 u	: u	: u	: u	: u	: u	8865 u	: u	13857 u	15477 	24114 	21643 
A,AFR,PER_VFR,N_GE4,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,AFR,PER_VFR,N_GE4,NR,MT	1695 u	3067 	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	43478 u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,NO	: 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,PL	: u	: 	: u	: u	: u	: 	: 	: u	: u	: u	: u	4364 u	: u
A,AFR,PER_VFR,N_GE4,NR,PT	: u	20206 u	: u	: u	: u	: u	25930 u	: u	: u	: u	: u	18259 u	23705 u
A,AFR,PER_VFR,N_GE4,NR,RO	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: u	: 	: u
A,AFR,PER_VFR,N_GE4,NR,SE	: 	: 	: u	: u	: u	167057 u	: u	: u	: u	: u	: u	: 	: 
A,AFR,PER_VFR,N_GE4,NR,SI	: u	: 	: 	: 	: 	: u	: 	: u	: u	: 	: u	: u	: u
A,AFR,PER_VFR,N_GE4,NR,SK	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,AFR,PER_VFR,N_GE4,NR,UK	539594 	546792 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,AT	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: u
A,AFR,PROF,N1-3,NR,BE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,PROF,N1-3,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,AFR,PROF,N1-3,NR,CH	: u	: u	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,CY	: u	: u	: u	: u	: 	: u	: 	: u	: 	: 	: u	: u	: u
A,AFR,PROF,N1-3,NR,CZ	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,DE	: u	: u	: 	: u	: u	: u	: u	: 	: 	: 	: u	: 	: u
A,AFR,PROF,N1-3,NR,DK	: u	: u	: 	: u	: u	: u	: 	: u	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,EA20	230051 	238029 	181975 	287791 	174250 	234544 	245481 	238229 	110680 u	: u	102267 u	127262 	1005733 
A,AFR,PROF,N1-3,NR,EE	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,AFR,PROF,N1-3,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,AFR,PROF,N1-3,NR,ES	37513 u	: u	: u	: u	50995 u	: u	: u	: u	: u	: u	: u	: u	: u
